Nº;MES;DIRIGIDA A;TIPO;DETALLE;;;;;;;;;;;;;;;;;;;;;;;
291;3;SISTEMAS;RECLAMO;"falta una sección de que hacer ante problemas. 
ejemplo ayer pague online, tiro mensaje de error, la plata si la descontó del banco pero no se imputó en el plan de pago. 
el error me dice contacte con el administrador, pero no hay visible un lugar de contacto para estas situaciones.";;;;;;;;;;;;;;;;;;;;;;;
292;3;;VARIOS;esta encuesta solicita respuesta de cómo resulta el trámite realizado a través del expediente electrónico antes de que sea resuelto. es un error.;;;;;;;;;;;;;;;;;;;;;;;
293;3;SISTEMAS;RECLAMO;por favor acrediten los pagos que realizan, cuando se paga algo que reclaman, porque lo suelen reclamar varias veces;;;;;;;;;;;;;;;;;;;;;;;
294;3;GESTION INTERNA;QUEJA;todavía no recibimos respuesta de un trámite que se efectuó a fines de diciembre 2020.;;;;;;;;;;;;;;;;;;;;;;;
295;3;SISTEMAS;QUEJA;no me permite realizar el pago anual, ni pagar boletas del año anterior;;;;;;;;;;;;;;;;;;;;;;;
296;3;SISTEMAS;QUEJA;no es facil pagar. no puedo pagar año completo, ni cuotas vencidas;;;;;;;;;;;;;;;;;;;;;;;
297;3;GESTION INTERNA;QUEJA;los tramites virtuales los responden con muchisima lentitud  . llevo 3 meses esperando un sellado. ;;;;;;;;;;;;;;;;;;;;;;;
298;3;SISTEMAS;SUGERENCIA;prefiero algo más ágil;;;;;;;;;;;;;;;;;;;;;;;
299;3;GESTION INTERNA;SUGERENCIA;deberáan responder de forma mas rápida;;;;;;;;;;;;;;;;;;;;;;;
300;3;GESTION INTERNA;QUEJA;mucha demora en la respuesta de los tramites iniciados en forma on line y falta de respuesta a los mails enviados a la persona encargada de la gestion del tramite;;;;;;;;;;;;;;;;;;;;;;;
301;3;SISTEMAS;FELICITACIONES;han mejorado mucho! sigan así! saludos cordiales;;;;;;;;;;;;;;;;;;;;;;;
302;3;SISTEMAS;RECLAMO;dificil encontrar la seccion de cambio de domicilio. el cambio de domicilio lo necesito hacer en todas las areas (automotor, inmobiliario, iibb, etc). deberia estar unificada la seccion de dicho tramite. ;;;;;;;;;;;;;;;;;;;;;;;
303;3;SISTEMAS;SUGERENCIA;aumentar la capacidad de generar planes;;;;;;;;;;;;;;;;;;;;;;;
304;3;SISTEMAS;SUGERENCIA;debería optimizarse el tiempo que toma hacer altas/bajas/modificaciones en afip y surtan efecto en atm. y asignar más recursos para que la página no se caiga;;;;;;;;;;;;;;;;;;;;;;;
305;3;SISTEMAS;RECLAMO;tienen que agilizar los accesos, liquidaciones, ser claros en la información. tengo que hacerlo para todos los conocidos porque el trámite no es sencillo;;;;;;;;;;;;;;;;;;;;;;;
306;3;SISTEMAS;SUGERENCIA;sería más práctico si en el correo electrónico que envían para avisar que hay una nueva notificación electrónica enviaran mayor información referida a dicha notificación;;;;;;;;;;;;;;;;;;;;;;;
307;3;SISTEMAS;QUEJA;por favor es necesario que adecuen los sitemas, es la segunda vez que encuentro que les han dado de bajas a contribuyentes q siguen presentando en tienpo y forma y pagando sus declaraciones juradas. tambien podrian gestionar mas rapido los tramites on line, estuve 1 semana esperando que me volvieran a dar el alta de un contribuyente, cuando antess eso era ´resencial y se hacia en el momento, y el telefono 148 no atienden nunca horas esperando que alguien responda;;;;;;;;;;;;;;;;;;;;;;;
308;3;SISTEMAS;RECLAMO;los sistemas deben permitir imprimir los boletos patrimoniales aunque estén pagados, que es dónde está la liquidación de los mismos y se certifica si  lo pagado es realmente lo liquidado.;;;;;;;;;;;;;;;;;;;;;;;
309;3;SISTEMAS;RECLAMO;(para los programadores web) diseñar un espacio único de sellados de contratos de locación ya que es totalmente confuso llegar hasta ahí, de los sellados en gral.;;;;;;;;;;;;;;;;;;;;;;;
310;3;SISTEMAS;SUGERENCIA;para hacer algunos trámites, es necesario un instructivo impresoque dan en la oficina. podrían colocar una pestaña con los trámites, y que de ahí se descarguen dichos instructivos.;;;;;;;;;;;;;;;;;;;;;;;
311;3;SISTEMAS;QUEJA;no puedo entender nada de lo que me envian como notificaciones. quiero pagar y no pùedo!!!! ;;;;;;;;;;;;;;;;;;;;;;;
312;3;SISTEMAS;QUEJA;es muy complicado el sellado de los contratos de locacion, poco practico.;;;;;;;;;;;;;;;;;;;;;;;
313;3;ATENCION CONTRIBUYENTE;VARIOS;hay en mi caso algunas dudas , pero es por la falta de capacidad en tramites online;;;;;;;;;;;;;;;;;;;;;;;
314;3;ATENCION CONTRIBUYENTE;RECLAMO;es muy dificil comunicarse via telefonica, deberían poner mas gente;;;;;;;;;;;;;;;;;;;;;;;
315;3;SISTEMAS;FELICITACIONES;el servicio que más me agrada es poder pagar mis impuestos con la tarjeta de crédito.;;;;;;;;;;;;;;;;;;;;;;;
316;3;ATENCION CONTRIBUYENTE;QUEJA;"el servicio de consultas ya sea telefonico o web esta bastante poco informado y ultimamente no estan ni asesorando correctamente ni resolviendo problemas
gracias";;;;;;;;;;;;;;;;;;;;;;;
317;3;SISTEMAS;SUGERENCIA;mas tramites on line como compensaciones entre impuestos;;;;;;;;;;;;;;;;;;;;;;;
318;3;SISTEMAS;FELICITACIONES;soy contribuyente de convenio multilateral de otra jurisdicción y la verdad es que me resultó sencillo iniciar el trámite por este medio. estoy esperando resolución;;;;;;;;;;;;;;;;;;;;;;;
319;3;;VARIOS;el trámite del punto 4. aún no ha sido resuelto;;;;;;;;;;;;;;;;;;;;;;;
320;3;SISTEMAS;SUGERENCIA;debería ser mas fácil obtener los libre deuda y poder obtener boletos ya pagados;;;;;;;;;;;;;;;;;;;;;;;
321;3;SISTEMAS;FELICITACIONES;exelente;;;;;;;;;;;;;;;;;;;;;;;
322;3;SISTEMAS;SUGERENCIA;el alta de una nueva cuenta debería ser más sencillo y evitar las llamadas al centro de atención telefónica;;;;;;;;;;;;;;;;;;;;;;;
323;3;SISTEMAS;RECLAMO;formas mas claras para< proceder .,pues no son del entendimiento de todos ;;;;;;;;;;;;;;;;;;;;;;;
324;3;GESTION INTERNA;RECLAMO;deberian contestas mas rapidos los pedidos de sellados. ;;;;;;;;;;;;;;;;;;;;;;;
325;3;SISTEMAS;QUEJA;la página no funciona de manera óptima, en especial el aplicativo sellos.;;;;;;;;;;;;;;;;;;;;;;;
326;3;SISTEMAS;QUEJA;la pagina tiene varios fallos y muchas veces se encuentra caida.;;;;;;;;;;;;;;;;;;;;;;;
327;3;ATENCION CONTRIBUYENTE;QUEJA;ya que no atienden en el 148 opción 1 respondan los chat;;;;;;;;;;;;;;;;;;;;;;;
328;3;ATENCION CONTRIBUYENTE;SUGERENCIA;"por suerte se puede realizar varios trámites por la web porque la atención telefónica deja mucho que desear
si bien la página está muy bien, no dejen de actualizarla y seguir mejorando aún más";;;;;;;;;;;;;;;;;;;;;;;
329;3;ATENCION CONTRIBUYENTE;QUEJA;despues de dos meses de gestion de trámite electrónico, aún no demuestra movimientos. poca información del personal telefónico y no existencia de estpacio virtual para reclamos;;;;;;;;;;;;;;;;;;;;;;;
330;3;SISTEMAS;RECLAMO;se me ha complicado dar de baja un mail antiguo, y me sigue apareciendo cuando intento adherirme al envío via mail. me parece que deben corregir algo en el sistema para hacer esto más amigable. creo que si uno actualiza el mail, eso deberìa ser suficiente para que la adhesión anterior también cambie a dicho mail. si es posible me gustaría que alguien me llame para explicarme como se puede corregir esto.;;;;;;;;;;;;;;;;;;;;;;;
331;3;SISTEMAS;FELICITACIONES;este medio es mas satisfactorio para sellar contratos que mis aplicativos ya que siempre del otro lado hay una persona que asiste en caso que falte algo . desde ya gracias por su gestion.;;;;;;;;;;;;;;;;;;;;;;;
332;3;ATENCION CONTRIBUYENTE;SUGERENCIA;se deberían poder hacer consultas ya que los teléfonos no funcionan;;;;;;;;;;;;;;;;;;;;;;;
333;3;GESTION INTERNA;RECLAMO;los expedientes realizados tiene mucha demora.de resolución;;;;;;;;;;;;;;;;;;;;;;;
334;3;SISTEMAS;FELICITACIONES;el servicio es excelente y practico! la gweneracion del boleto podria ser en menor tiempo. por lo demás genial poder hacer los tramites on-line. gracias!;;;;;;;;;;;;;;;;;;;;;;;
335;3;SISTEMAS;RECLAMO;mejoren plataforma sellos web, es imposible sellar actualmente, y la linea 148 no tiene una opcion para hablar con un representante y resolver dudas;;;;;;;;;;;;;;;;;;;;;;;
336;3;SISTEMAS;QUEJA;hace dos dias que no puedo ingresar a la pagina sellos web, tengo que resolver sellado por mis tramites online, necesito que le den una solucion a ello;;;;;;;;;;;;;;;;;;;;;;;
337;3;SISTEMAS;QUEJA;realice el pago de la cuarta cuota del plan de pago de la patente de mi vehiculo de forma virtual por medio de mi tarjeta de debito, me figuro un error que habia fallado la operacion. pero el debito en mi cuenta si se realizo y en atm me figura como impaga la cuota.necesito que se solucione ese problema. tengo el comprobante del debito que se realizo en mi cuenta. saludos;;;;;;;;;;;;;;;;;;;;;;;
338;3;ATENCION CONTRIBUYENTE;SUGERENCIA;sugiero que atienda los telefonos , me canse de llamar para regular mi situacion y nunca me respondieron y el tramite por la web es bastante complicado, deberia ser mas simple...;;;;;;;;;;;;;;;;;;;;;;;
339;3;ATENCION CONTRIBUYENTE;SUGERENCIA;buenos días, por favor sugiero mayor atención en la línea de 148, ya que es imposible comunicarse para solucionar problemas de trámites que tienen fecha de vencimiento. ;;;;;;;;;;;;;;;;;;;;;;;
340;3;;VARIOS;en esta encuesta el tema de calificar el tramite deberian colocar un casillero de opcion aun en resolucion ya como mi caso es mi primer solicitud y aun no he terminado con la misma. gracias;;;;;;;;;;;;;;;;;;;;;;;
341;3;ATENCION CONTRIBUYENTE;SUGERENCIA;que atiendan el 0800 o 148 para orientarnos. que las claves fiscales se puedan recuperar colocando los datos del dni, su trámite, nuevo email (antes hotmail... problemas.. ahora sin problemas para recuperar... gmail) gracias!!!;;;;;;;;;;;;;;;;;;;;;;;
342;3;GESTION INTERNA;QUEJA;en mi caso relaize los tramites correspondientes en el registro automotor asignado y ya ha pasado mas de un año y sigo sin recibir la patente del dominio nph 133 a mi nombre;;;;;;;;;;;;;;;;;;;;;;;
343;3;SISTEMAS;SUGERENCIA;agregar acceso directo a solicitudes de libres deudas;;;;;;;;;;;;;;;;;;;;;;;
344;3;GESTION INTERNA;RECLAMO;he tramitado un libre deuda y no tengo respuestas ni para bien ni para mal, si hubiera un error en el pedido deberian informarmelo, espero esa respuesta desde hace 6 dias;;;;;;;;;;;;;;;;;;;;;;;
345;3;SISTEMAS;QUEJA;aplicativos resulta pésimo, se cuelga todo el tiempo. imposible realizar el tramite;;;;;;;;;;;;;;;;;;;;;;;
346;3;GESTION INTERNA;RECLAMO;tema inscripcion demoran en impactar cambios y demas con vinculacion a afip;;;;;;;;;;;;;;;;;;;;;;;
347;3;GESTION INTERNA;SUGERENCIA;responder con mayor ligereza los tramites ya que posee fecha de pagos ;;;;;;;;;;;;;;;;;;;;;;;
348;3;SISTEMAS;FELICITACIONES;todo bien con la pàgina web;;;;;;;;;;;;;;;;;;;;;;;
349;3;GESTION INTERNA;QUEJA;los tramites realizados a traves de mis tramites se han finalizado con mucha demora;;;;;;;;;;;;;;;;;;;;;;;
350;3;GESTION INTERNA;QUEJA;la atención a a través de mis tramites es muy lenta;;;;;;;;;;;;;;;;;;;;;;;
351;3;GESTION INTERNA;QUEJA;la atencion por mis tramites es mala, demoran mucho tiempo para realizar los pedidos de tramites;;;;;;;;;;;;;;;;;;;;;;;
352;3;GESTION INTERNA;QUEJA;nunca pude completar la solicitud de extensión por discapacidad;;;;;;;;;;;;;;;;;;;;;;;
353;3;SISTEMAS;SUGERENCIA;que tengan mayor intercambio con los usuarios de web.;;;;;;;;;;;;;;;;;;;;;;;
354;3;SISTEMAS;SUGERENCIA;establecer ciertas alternativas para trámites comunes y la posibilidad de pagar por volantes de pago electrónico las liquidaciones de atm, no solamente los impuestos automotor, inmobiliario e ingresos brutos, sino cualquier tipo de obligación con atm;;;;;;;;;;;;;;;;;;;;;;;
355;3;GESTION INTERNA;RECLAMO;"los impuestos automotor e in mobiliarios son muy altos con referencia a nuestro sueldo jubilado. siendo nuestro sueldo el único ingreso familiar es muy alto el impuesto.
es preferible q incrementen la cantidad de cuotas anuales.";;;;;;;;;;;;;;;;;;;;;;;
356;3;CATASTRO;RECLAMO;arreglen la cartografia pesima de catastro;;;;;;;;;;;;;;;;;;;;;;;
357;3;GESTION INTERNA;RECLAMO;la mayoría de las veces que he presentado algún tramite tardan mucho en la respuesta ;;;;;;;;;;;;;;;;;;;;;;;
358;3;GESTION INTERNA;RECLAMO;he enviado tres veces el mismo reclamo y todavía no me resuelven el problema...(obviamente me tienen que devolver un importe);;;;;;;;;;;;;;;;;;;;;;;
359;3;GESTION INTERNA;SUGERENCIA;los tiempos de respuesta son muy largos;;;;;;;;;;;;;;;;;;;;;;;
360;3;SISTEMAS;SUGERENCIA;la posibilidad de conseguir la constancia de ingresos brutos como se puede conseguir en afip la constancia de inscripcion en el monotributo;;;;;;;;;;;;;;;;;;;;;;;
361;3;SISTEMAS;SUGERENCIA;mejorar la emisión de certificados de exención y tasa cero;;;;;;;;;;;;;;;;;;;;;;;
362;3;SISTEMAS;QUEJA;cargan mal los datos de un dominio y estoy, yo el usuario haciendo el trabajo que atm deberia hacer , cobrar bien, no cargar cualquier patente. trabajen atentos, como cobran ;;;;;;;;;;;;;;;;;;;;;;;
363;3;;VARIOS;espero una resolución favorable ;;;;;;;;;;;;;;;;;;;;;;;
364;3;;VARIOS;espero una resolución favorable. ;;;;;;;;;;;;;;;;;;;;;;;
365;3;;VARIOS;espero una resolución favorable gracias ;;;;;;;;;;;;;;;;;;;;;;;
366;3;SISTEMAS;QUEJA;ultimamente, un desastre. no se pueden bajar los inmobiliarios. vas personalmente, tampoco. queres iniciar un trámite, te responden cualquier cosa, menos un acto administrativo.;;;;;;;;;;;;;;;;;;;;;;;
367;3;SISTEMAS;SUGERENCIA;el sistema de seguimiento de las presentaciones es confuso. uno de los problemas principales es no poder seguirlos por número de expediente;;;;;;;;;;;;;;;;;;;;;;;
368;3;SISTEMAS;RECLAMO;no aparece el alta para iibb tendría que ser mas fácil ya que creo es un tramite bastante común en esta época, ni las constancias en caso de haberlo hecho por página de afip. no es clara la secuencia a seguir.;;;;;;;;;;;;;;;;;;;;;;;
369;3;SISTEMAS;SUGERENCIA;deberian mejorar el lenguaje con las personas expresarse un poco mas simple;;;;;;;;;;;;;;;;;;;;;;;
370;3;SISTEMAS;SUGERENCIA;respuestas mas claras por parte de los agentes que contestan los expedientes electrónicos;;;;;;;;;;;;;;;;;;;;;;;
371;3;GESTION INTERNA;SUGERENCIA;"deberían realizar dentro de lo posible los tramites con mayor agilidad, ya que antes de la pandemia se realizaban en el momento y ahora se demora mínimo una semana. aunque por otro lado, la pagina es muy útil y te ahorra tener que movilizarse para cualquier tramite. 
los teléfonos no los atienden y hay muchísimas consultas que se podrían solucionar mediante ese medio en el momento. ";;;;;;;;;;;;;;;;;;;;;;;
372;3;GESTION INTERNA;SUGERENCIA;mejorar el tiempo de respuesta entre que se envia el tramite y la resuelve atm;;;;;;;;;;;;;;;;;;;;;;;
373;3;SISTEMAS;SUGERENCIA;me resulta poco intuitivo el diseño de la interface;;;;;;;;;;;;;;;;;;;;;;;
374;3;SISTEMAS;QUEJA;me resulta complicado como ciudadano común realizar todo tipo de tramite en la pagina  ;;;;;;;;;;;;;;;;;;;;;;;
375;3;ATENCION CONTRIBUYENTE;QUEJA;"no me puedo comunicar por teléfono porque nadie atiende. ponen el mensaje de que todos los operadores están ocupados y me cortan.
inicié dos expedientes electrónicos con mi reclamo y después de 15 días aún no  responden.
quiero pagar el impuesto inmobiliario de mi casa!!!
pero no logro que estén disponibles o me envíen los boletos para hacerlo ";;;;;;;;;;;;;;;;;;;;;;;
376;3;GESTION INTERNA;SUGERENCIA;agilidad en las respuestas;;;;;;;;;;;;;;;;;;;;;;;
377;3;GESTION INTERNA;QUEJA;"necesito urgente obtener tasa cero antes del 31/3. hice plan de pagos por cbu por $238 que es la única deuda que tengo en impuesto automotor porque por mi salud me resulta complicado ir a pagar a bolsa de comercio. luego, me entero que aún regularizando la deuda no puedo obtener tasa cero hasta que no cancele en efectivo el monto. quiero obtener el boleto de pago de contado, pero previamente tengo que anular el plan de pagos con cbu. para anularlo desde call center me dicen que debo hacer expediente electrónico en mis trámites y que en 24 hs 36 hs lo resuelven. presenté el trámite el 19/3/2021, hasta el día de la fecha 23/3/2021 a las 15:48 horas el expediente no se ha movido. no hay ningún tramite aparte de la presentación que he efectuado yo.
necesito urgente obtener la tasa cero antes del 31/3, por lo único que no la puedo obtener es por esa deuda de intereses de 238. quiero pagar de contado, no puedo.
solicito por favor me puedan anular plan de pagos así puedo generar el pago en efectivo y obtener la tasa cero (me quedan 5 días hábiles para poder hacerlo)";;;;;;;;;;;;;;;;;;;;;;;
378;3;SISTEMAS;QUEJA;fui personalmente y me mandaron a hacer un expediente electronico que no puedo realizar aun siguiendo todos los pasos que me indicaron pues mi cuit no puede iniciar el tramite en catastro;;;;;;;;;;;;;;;;;;;;;;;
379;3;SISTEMAS;SUGERENCIA;mas efectividad ;;;;;;;;;;;;;;;;;;;;;;;
380;3;SISTEMAS;RECLAMO;hay trámites, como ser una simple consulta, o el cambio de domicilio fiscal que no están contemplados (al menos yo no los encontré);;;;;;;;;;;;;;;;;;;;;;;
381;3;GESTION INTERNA;QUEJA;vivo en luján de cuyo y en la oficina de rentas de la calle taboada he ido en reiteradas oportunidades a informar del error de la notificación impaga, siendo que estaba pagada, pero dicha oficina se encuentre cerrada en las últimas semanas, por lo que no he podido acreditar el pago oportuno en forma presencial.;;;;;;;;;;;;;;;;;;;;;;;
382;3;SISTEMAS;SUGERENCIA;en la sección de tramites on line, prestar más información como guía para aquellos que no gestionamos con habitualidad. gracias.;;;;;;;;;;;;;;;;;;;;;;;
383;3;SISTEMAS;SUGERENCIA;que la sesión dure mas tiempo y no se puede ingresar a ver detalle y pagar ;;;;;;;;;;;;;;;;;;;;;;;
384;3;CATASTRO;RECLAMO;sería bueno poder ingresar a catastro a traves de la oficina virtual ;;;;;;;;;;;;;;;;;;;;;;;
385;3;SISTEMAS;SUGERENCIA;claridad en el impuesto al sello ;;;;;;;;;;;;;;;;;;;;;;;
386;3;GESTION INTERNA;QUEJA;siempre que presento un trámite en oficina on line lo manda a archivo nunca solucionan nada no se para que existe, necesito un trámite presencial;;;;;;;;;;;;;;;;;;;;;;;
387;3;GESTION INTERNA;QUEJA;nunca resuelven nada en trámites on line siempre mandan a archivo no se para que existe esa oficiana necesito turno presencial a mi pesar;;;;;;;;;;;;;;;;;;;;;;;
388;3;ATENCION CONTRIBUYENTE;QUEJA;menos mal q ya todo se hace online pq en atencion presencial sede valle de uco hay un señor q atiende bastante repugnate y pesado. ;;;;;;;;;;;;;;;;;;;;;;;
389;3;GESTION INTERNA;RECLAMO;por favor agilicen la respuestas en mis tramites! esta genial poderlo tramitar por aqui pero llevo mas de 2 meses intentando solucionar un error en su sistema ;;;;;;;;;;;;;;;;;;;;;;;
390;3;GESTION INTERNA;RECLAMO;que respondan mas rapido a las necesidades de la gente , como yo, que no somos grandes empresarios y solo queremos trabajar, apegados a la ley;;;;;;;;;;;;;;;;;;;;;;;
391;3;SISTEMAS;QUEJA;al inciiar un tramite electronico no son claros que necesitan para terminar el trmaite. un desastre ;;;;;;;;;;;;;;;;;;;;;;;
392;3;SISTEMAS;SUGERENCIA;más videos o guias paso a paso para trámites on line;;;;;;;;;;;;;;;;;;;;;;;
393;3;GESTION INTERNA;SUGERENCIA;poder abonar planes o cuotas adeudados aunque estén vinculados a un cbu;;;;;;;;;;;;;;;;;;;;;;;
394;3;SISTEMAS;SUGERENCIA;agregar más tramites on line;;;;;;;;;;;;;;;;;;;;;;;
395;3;GESTION INTERNA;SUGERENCIA;acelerar pago de tasas de justicia, dar plazo para pagar;;;;;;;;;;;;;;;;;;;;;;;
396;3;SISTEMAS;SUGERENCIA;incorporar a mercado pago, la solicitud de pago de impuestos de atm;;;;;;;;;;;;;;;;;;;;;;;
397;3;SISTEMAS;SUGERENCIA;seria necesario un canal de comunicación para consultas de profesionales en ciencias económicas;;;;;;;;;;;;;;;;;;;;;;;
398;3;SISTEMAS;SUGERENCIA;estaría bueno que por mas que ya se encuentre pagado el impuesto inmobiliario u automotor igual te deje descargar el boleto o verlo. porque allí aparecen datos que en la   o inmueble no aparece. debería poder verse siempre la factura. ;;;;;;;;;;;;;;;;;;;;;;;
399;3;SISTEMAS;RECLAMO;observo demoras en la confeccion de boletos automotor 0 km ;;;;;;;;;;;;;;;;;;;;;;;
400;3;SISTEMAS;RECLAMO;posibilidad de cambiar el correo electrónico principal;;;;;;;;;;;;;;;;;;;;;;;
401;3;SISTEMAS;RECLAMO;por favor facilitar el pago de planes de pago a través de cbu, el apartado funciona incorrectamente.;;;;;;;;;;;;;;;;;;;;;;;
402;3;ATENCION CONTRIBUYENTE;QUEJA;"muy malo el servicio telefónico, no he tenido respuesta en toda la semana. presencialmente tampoco me pudieron atender, se entiende el contexto de pandemia pero no pude ser que no se pueda tener atención personal.
el tramite que solicitó tiene multa pasados los 10 días hábiles, el atraso que genera atm por no dar respuesta no es justo. 
mala experiencia en general, telefónicamente y presencia.";;;;;;;;;;;;;;;;;;;;;;;
403;3;SISTEMAS;SUGERENCIA;que se amplie el menu de trámites on line;;;;;;;;;;;;;;;;;;;;;;;
404;3;SISTEMAS;FELICITACIONES;sin sugerencias;;;;;;;;;;;;;;;;;;;;;;;
405;3;SISTEMAS;SUGERENCIA;aun se puede hacer más simple y comprensible;;;;;;;;;;;;;;;;;;;;;;;
406;3;GESTION INTERNA;SUGERENCIA;a travez de la pagina he obtenido bueno resultados. solo a veces necesitamos mas rapido alguna salida de tramites nada mas;;;;;;;;;;;;;;;;;;;;;;;
407;3;GESTION INTERNA;SUGERENCIA;solicito mayor rapidez en los tramites dado que hay demoras y no deberían ocurrir mas siendo en un entorno virtual;;;;;;;;;;;;;;;;;;;;;;;
408;3;SISTEMAS;SUGERENCIA;sería útil, que al armar un plan de pago, por el ejemplo para ponerse al día con el impuesto automotor, figuren otros medios y opciones para pagar por mercado pago, u en forma online, que hoy se utiliza mucho, ya que, aparentemente en mi caso se me debitaría en forma automática de mi cuenta bancaria pero no se realizó el debito, y no encontré otra forma de pagarlo, hasta tanto se venciera el plan. hoy por hoy, por ej. la afip se puede pagar a través de veps o mercado pago que hoy se utiliza mucho y es fácil de usar, muchos consumidores lo utilizan, pero atm aún no se puede. sería muy practico! que se unieran a ese medio y poder pagar los impuestos de esa manera más fácil estar al día, ya que la app, te avisa de tus vencimientos. yo me adherí al mail, pero no sé porqué no me llega los correos electrónicos. gracias!;;;;;;;;;;;;;;;;;;;;;;;
409;3;SISTEMAS;FELICITACIONES;excelente servicios;;;;;;;;;;;;;;;;;;;;;;;
410;3;SISTEMAS;SUGERENCIA;en crear cuenta pocos cuentan con tickest pagados de algo ...habria que ver otras formas ;;;;;;;;;;;;;;;;;;;;;;;
411;3;ATENCION CONTRIBUYENTE;RECLAMO;hace más de 1 semana que llamo al 148, opcion1 (todos nuestros operadores están ocupados). me es más util recibir boleto impreso en tiempo, en domic real!;;;;;;;;;;;;;;;;;;;;;;;
412;3;GESTION INTERNA;SUGERENCIA;más agilidad para atender los expedientes electrónicos que se inician en atm;;;;;;;;;;;;;;;;;;;;;;;
413;3;GESTION INTERNA;RECLAMO;deberían agilizar sistemas ya que me estan cobrando algo que ya pagué y me intiman luego de pagar.;;;;;;;;;;;;;;;;;;;;;;;
414;3;GESTION INTERNA;QUEJA;tardan mucho en resolver el tramite;;;;;;;;;;;;;;;;;;;;;;;
415;3;ATENCION CONTRIBUYENTE;QUEJA;no están todas las opciones disponibles para operar en mis tramites,  requería la devolución del sobrepago del impuesto automotor o crédito automotor, no encontré opción para hacerlo,  mi cuenta estuvo bloqueada la semana pasada, no me admitía fijar domicilio fiscal. muchos inconvenientes y el 148 nunca contesta. tenes que adivinar como gestionar las cosas. han complicado absolutamente todo tramite de privados ;;;;;;;;;;;;;;;;;;;;;;;
416;3;;VARIOS;no puedo calificar un trámite que he comenzado hoy. salduos;;;;;;;;;;;;;;;;;;;;;;;
417;3;SISTEMAS;SUGERENCIA;el boleto lo mejor es que se envié al correo electrónico aunque se pueda descargar;;;;;;;;;;;;;;;;;;;;;;;
418;3;SISTEMAS;FELICITACIONES;buena la gestion por este medio;;;;;;;;;;;;;;;;;;;;;;;
419;3;SISTEMAS;SUGERENCIA;mas simple;;;;;;;;;;;;;;;;;;;;;;;
420;3;SISTEMAS;SUGERENCIA;piden como obligatorio responder si el tramite fue resuelto o no, pregunta que no se puede responder ya que no se la respuesta todabia;;;;;;;;;;;;;;;;;;;;;;;
421;3;SISTEMAS;SUGERENCIA;se debería poder acceder para averiguar  las deudas de los inmuebles para evitar concurrencia.  ;;;;;;;;;;;;;;;;;;;;;;;
422;3;SISTEMAS;QUEJA;no funcionan los tramites de autogestion;;;;;;;;;;;;;;;;;;;;;;;
423;3;SISTEMAS;QUEJA;no es tan facil, para quién no maneja, todos los días cargar estos trámites.  ;;;;;;;;;;;;;;;;;;;;;;;
424;3;SISTEMAS;SUGERENCIA;un canal más ágil y sencillo para averiguar deudas y agregar una manera de poder consultar deudas de patentes de vehículos que no estén a nombre del titular de la cuenta de atm;;;;;;;;;;;;;;;;;;;;;;;
425;3;SISTEMAS;RECLAMO;"tengo debito automático adherido y me generan deudas por falta de pago. quiero pagar las deudas y el plan de pagos generados no se puede bajar, no se puede pagar online. llevo mas de un mes haciendo el reclamo, y me contestan cualquier estupidez. me cerraron los reclamos, no me solucionan el problema de deuda generada por culpa de 
ustedes, y yo sigo acumulando deuda. básicamente inoperantes";;;;;;;;;;;;;;;;;;;;;;;
426;3;GESTION INTERNA;QUEJA;son muy lentos en resolver los problemas, y falta atencion mas personalizada para guiar en los tramites, no atienden el telefono, nunca;;;;;;;;;;;;;;;;;;;;;;;
427;3;GESTION INTERNA;RECLAMO;soy martillero publico solicite informes de deudas de automotores y el operados me manifiesta que lo tengo que solicitar por oficio , y el art. 264 inc e del cpc yt dice que al solo pedido del martillero debera otorgarse el informe con lo cual opino a los efectos de agilizar los tramites  que se deberia instruir en ese aspecto a los operadores .;;;;;;;;;;;;;;;;;;;;;;;
428;3;SISTEMAS;SUGERENCIA;mejorar elsistema para blanquear clave en caso de olvido;;;;;;;;;;;;;;;;;;;;;;;
429;3;SISTEMAS;RECLAMO;permitan pagar la tasa de justicia en sucesión de derechos y acciones de un automotor por tajus, sin exigir este trámite inútil, pudiéndose llenar directamente la boleta tajus. me hicieron sacar turno presencial inutilmente para después no recibirme el expediente.;;;;;;;;;;;;;;;;;;;;;;;
430;3;ATENCION CONTRIBUYENTE;QUEJA;el sistema de atención es terriblemente malo. ;;;;;;;;;;;;;;;;;;;;;;;
431;3;SISTEMAS;RECLAMO;el problema que registra la pagina es la acreditacion tardia de los pagos efectuados por los canales xnet;;;;;;;;;;;;;;;;;;;;;;;
432;3;SISTEMAS;QUEJA;pagina muy compleja;;;;;;;;;;;;;;;;;;;;;;;
433;3;SISTEMAS;SUGERENCIA;deben revisar seriamente el diseño de experiencia de usuario del portal. siendo una persona que se dedica a la creación de plataformas, es impresinante lo mal que está hecha. simplifiquen los procesos;;;;;;;;;;;;;;;;;;;;;;;
434;3;SISTEMAS;FELICITACIONES;el sistema es muy bueno;;;;;;;;;;;;;;;;;;;;;;;
435;3;SISTEMAS;SUGERENCIA;sería importante mejorar la calidad de los instructivos;;;;;;;;;;;;;;;;;;;;;;;
436;3;SISTEMAS;SUGERENCIA;deberían dejar adjuntar documentación como foto u otro formato y no sólo pdf;;;;;;;;;;;;;;;;;;;;;;;
