,P7,ingles
454,el punto 4  lo contesto pero recien empiezo el tramite asi que no puedo decir si fue resuelto,point 4 I answer it but I just start the process so I can not say if it was solved
455,cargue el auto de un automotor en enero y finalizando marzo no tuve respuesta los tiempos d tratamiento son excesivamente largos,Load the car from an automotive in January and ending March I did not answer Treatment times are excessively long
456,demore mucho en encontrar la parte de generacion de sellados lo demas esta muy bien gracias,delayed a lot to find the part of the generation of sealed the rest is very well thanks
457,deberian estar publicados en un lugar visible los instructivos de los tramites del servicio mis tramites ya que el sistema no es muy intuitivo o no todos tenemos facilidad para comprenderlo,You should be published in a visible place the instructions of the service procedures my processing since the system is not very intuitive or not all have ease to understand it
458,no es clara la forma en la que se gestionan los tramites online,The way in which the online procedures are managed are not clear
459,un poco compleja la forma de acceder a los tramites habria que tratar de simplificar las formas en lo posible,A little complex how to access the procedures would have to try to simplify the ways as much as possible
460,la boleta para el plan de pago no la pueden leer en un rapipago o pagofacil trato de llamar a atm pero no me atiende nadie la pagina es excelente pero si sale algo mal como en este caso no tengo a quien consultarle,The ticket for payment plan can not read it in a rapipago or payment I try to call ATM but it does not take care of anyone the page is excellent but if it comes out something wrong as in this case I do not have anyone to consult
461,mejorar tamaño de letras y paginas,Improve size of letters and pages
462,creo que es muy bueno el funcionamiento de la pagina por ahi sellos me costo un poco mas ya que hay q saber cual es por sellos web y por tramite online,I think it is very good the performance of the page by there stamps cost me a little more since you have to know which is by web seals and by online process
463,mejorar el tramite de sellado de contratos,Improve the sealing process of contracts
464,esta buenisima la pagina faltaria un poco mas de rapidez cuando se abre un expte electronico,This great page would miss a little more quickly when an ELECTRONIC EXTENS
465,"por favor mejoren interfaz de sayges que no te deja visualizar lo que uno quiere adjuntar y si uno quiere volver para atras te borra todo tu progreso ademas que lo que se muestra en la pantalla no se ve y no te lo deja ver cuando uno desliza el dedo a traves de toda la pantalla deberia ser mas fluida la interfaz anda muy lenta y el tiempo de uno es valioso como para estar ingresando una y otra y otra vez los datos a la pantalla por favor señores mejoren esa interfaz
muchas gracias por dar al usuario esta instancia de sugerencias","please improve Sayges interface that does not let you visualize what one wants to attach and if one wants to go back for back all your progress besides that what is displayed on the screen is not seen and does not let it see when one slides Finger through the entire screen should be more fluid the interface is very slow and one's time is valuable to be entering one and the other and again the data to the screen please let's improve that interface
Thank you very much for giving the user this instance of suggestions"
466,no se si el tramite lo hice bien o mal o si me va a generar mas inconvenientes que beneficios no se si el tutorial fue muy claro habian pestañas que no eran como en el tutorial me salian ventanas emergentes que no sabia que responder quiero hacer las cosas bien pero no se si las estoy haciendo bien ,I do not know if the process did well or badly or if it will generate more inconveniences that benefits do not know if the tutorial was very clear there were eyelashes that were not as in the tutorial I would leave emerging windows that I did not know that I want to do things well but I do not know if I'm doing well
467,sugiero que se soluciones la falta de personal para la pronta resolucion de expedientes ,I suggest that the lack of personnel is solved for the prompt resolution of files
468,aun espero resolucion a un tramite iniciado en el año 2020 - cuit 27-23489626-7 pueden revisarlo por favor no lo resuelven ni contestan,I still hope resolution to a process started in the year 2020 - CUIT 27-23489626-7 You can review it please do not resolve or answer
469,la seccion mis tramites es excepcionalmente buena pero no es facil hacer el seguimiento del tramite,The My Tramites Section is exceptionally good but it is not easy to follow up the process
470,dan respuestas pero no resuelven,give answers but do not solve
471,esta muy bueno que se incorporen la mayoria de los tramites en este formato me parece que seria bueno incluir tutoriales en formato de video paso a paso bien didacticos para jubilados  gente no amigada con la tecnologia o gente que simplemente no quiere leer ,is very good that the majority of the procedures are incorporated in this format I think it would be good to include tutorials in well-step-step video format for retired people not friendly with technology or people who simply do not want to read
472,entiendo que deben existir muchos tramites pero el tiempo de demora obliga a tomar decisiones que posponen otros temas de todas formas es muy conveniente esta via de comunicacion,I understand that there must be many procedures but the time of delay forces to make decisions that postpone other issues anyway is very convenient this communication via
473,cuando no es la pagina que esta en reparacion es el correo que no sirve o que ahora no se puede etc etc etc ,when it is not the page that is in repair is the mail that does not serve or that now can not be etc etc etc etc
474,respuestas de encargados de tramites sumamente escuetas y poco orientativas,Answers of extremely bright and low-orientated processing managers
475,es muy lento el canal para las constestaciones ,It is very slow the channel for the consvestacles
476,en todas las gestiones a traves de la pagina fueron exitosos ,In all the steps through the page they were successful
477,no es simple llegar a gener un expediente la respuesta demora minimo 10 dias ,It is not simple to reach Gene a file the answer delay minimum 10 days
478,que el 148 atienda una persona fisica y no dejar esperando tanto al usuario mas de 25 minutos esperando ser atendido y cuando me atendieron se corto la comunicacion y nunca me devolvieron la llamada otra vez a estar mas de 15 esperando que un operador me atienda,"that the 148 attend a physical person and not let the user wait as much more than 25 minutes waiting to be attended and when they treated me, the communication was shortened and they never returned the call again to be more than 15 waiting for an operator to attend me"
479,hacer mas amigable el acceso y navegacion,Do more friendly access and navigation
480,que los sistemas de afip se comuniquen bien con los de atm,that AFIP systems communicate well with those of ATM
481,mas agilidad en la pagina ya que muchas veces se cae o esta inactiva,More agility on the page since many times it falls or is inactive
482,mayor celeridad en la atencion del 148 quince minutos diciendo que los operarios estan ocupados,greater speed in the attention of 148 fifteen minutes saying that operators are busy
483,muy buenservicio y mas ahora que debemos realizar muchos tramites desde la oficina,Very good and more now that we must do many procedures from the office
484,excelente el personal gracias,excellent staff thanks
485,no tengo claro el tramite que inicie que es un plan de pago inmobiliario deuda,I have no clear the process that starts that it is a debt real estate payment plan
486,respuestas mas rapidas,Faster answers
487,ojala encuentre respuesta urgente a lo enviado,I hope you find an urgent response to the sent
488,el sistema mis tramites no es eficiente tardan mucho en responder no esta completa la informacion de los requisitos de cada tramite algunos tramites iniciados han desaparecido y no es posible rastrearlos y no hay posibilidad de comunicacion con el personal para solucionar inconvenientes por ej catastro,"The My Traffic System is not efficient, it takes a long time to respond is not complete The information on the requirements of each procedure Some initiated procedures have disappeared and it is not possible to trace them and there is no possibility of communication with the staff to solve problems for ex cadastre"
489,deberian agregar mas opciones de  tramites ,You should add more processing options
490,mientras funciona esta bien pero se desconecta el sistema muy seguido,while it works is fine but the system is disconnected very followed
491,es un desasastre la falta de resolucion de problemas como puede ser que se han abierto exptes electronicos por baja de vehiculos y no obtenemos respuestas,It is a unassastre the lack of problems as it may be that electronic expTES have been opened by low vehicles and do not obtain responses
492,el porcentaje del sellado de 05 a 15% encarece mucho por que no pasa al 1%?,The percentage of the seal from 05 to 15% incides a lot because it does not happen to 1%?
493,ya lo puse enteriormente el portal y sus aplicativos deben ser de acceso para toda la comunidad no unicamente para quien este registrado como sujeto pasible de iibb a mi me ha re perjudicado por un error que cometio mi contadora que me dio de baja del impuesto y ahora no puedo usar lo habitual en mi profesion,I already put on the portal and its applications must be of access for the whole community not only for those who registered as a possible subject of IIBB to me has been harmed by an error that committed my accountant who gave me down the tax and now I can not use the usual in my profession
494,demoran mucho en renovar el certificado de excusion se pide agilidad gracias,delay a lot to renew the excusion certificate is asked of agility thanks
495,agilizar la carga de documentos y archivos,Examine the loading of documents and files
496,la pagina es agil sencilla y clara me gusta,the page is simple and clear agile I like
497,mas servicios on line,More Services On Line
498,satisfactoria,satisfying
499,"los telefonos de la empresa no se atienden correctamente porque los empleados demoran hasta media hora para levantar el tubo es mas hay casos que los operadores agendan el telefono del contribuyente para luego llamarlo y eso no ocurre esto es una falta de respeto y consideracion al contribuyente
la informacion telefonica debe ser agil  y es vital para que los contribuyentes podamos cumplir con nuestras obligaciones  y ademas para ayudar con la paginas de la web de vuestra empresa 
las personas mayores lamentablemente no pueden solucionar sus inconvenientes mediante una pagina web  porque no la entienden son muy complicada y nuestro viejos jamas manejaron una pc
deberian existir otras alterativas para poder solucionar este tipo de inconvenientes
saludos cordiales carlos","The telephones of the company are not attended correctly because the employees take up to half an hour to lift the tube more there are cases that operators agende the taxpayer's phone and then call this is a lack of respect and consideration to the taxpayer
Telephone information must be agile and is vital for taxpayers to meet our obligations and also to help with the web page of your company
Older people unfortunately can not solve their inconveniences through a web page because they do not understand it are very complicated and our old never handled a pc
There should be other alterations to be able to solve this type of inconvenience
Best regards Carlos."
500,me ha resultado sumamente dificil y con cuatro dias de insistir porque no tenia idea como se hacia escaneando perdon pero soy de una generacion no digital y la verdad es que espero ahora haberlo hecho correctamente de todas formas hay que aprender para ajustarse a los tiempos de todos ,It has been extremely difficult and with four days of insisting because I had no idea how I was doing scanning sorry but I am from a non-digital generation and the truth is that I hope now I have done it correctly anyway you have to learn to adjust to all times
501,revisar pagina ya q no me dejar realizar el pago de patente por debito arroja un error,Review page since I do not let me make the patent payment by the debit throws an error
503,"una vez iniciado el tramite por mas que esta la opcion no me permite adjuntar nada no me lo toma por lo que la info que me solicitaron no la tomo y dieron por archivado el tramite
muchas gracias","Once the process is started, for more than this the option, it does not allow me to attach anything, I do not take it for what the info asked me not to take it and they gave for archiving the procedure
Thank you so much"
504,cuando se solicitan boletos para pagar tramites ser mas rapidos,When tickets are requested to pay for more fast
505,muy practico el sistema ayuda a solucionar problemas,Very practical system helps solve problems
506,pesimo el sistema  no hay un solo telefono de contacto no hay ningun mecanismo de consulta respecto de como hacer algun tramite si no se tiene algun conocido dentro dentro de la reparticion no se puede averiguar nada de nada absolutamente inconducente una encuesta que nadie va a leer y para nada va a servir ni nada va a mejorarmientras tanto los contribuyentes seguimos abonando impuestos y tasas ahorcados en medio de una pandemia y ustedes ni se toman la cortesia de poner a disposicion algun telefono de contacto bravo,PESIMO THE SYSTEM NO A SINGLE CONTACT TELEPHONE There is no query mechanism regarding how to make a process if you do not have any known inside the distribution you can not find out anything at all absolutely incudencent a survey that nobody is going to read and At all it is going to serve or nothing is going to improve both the taxpayers continue paying taxes and rates hanged in the midst of a pandemic and you nor do you take the courtesy to make available some bravo contact telephone
507,la realizacion de los tramites con mas rapidez,The realization of the procedures more quickly
508,en el tema  sellado de contratos no es clara la informacion que te brindan los agentes ya que si bien se hace a traves del aplicativo sellos la parte de exencion me informaron por mail que se tiene que pedir a traves de expediente electronico 2 formas para algo que forma parte del mismo impuesto es innecesario,"In the sealed theme of contracts, the information provided by the agents is clear since although it is done through the application, the exemption part informed me by mail that has to be asked through electronic file 2 forms for something that is part of the same tax is unnecessary"
509,la pagina se cae bastante,the page falls pretty
510,que sea mas facil para entrar en el cellado,that is easier to enter the cell
511,gracias,Thank you
512,en el tramite q estoy realizando me dicen q lo tengo q ace usando una opcion que no existe en mi oficina virtual “compensacion o devolucion impuesto automotor 2021” ,"In the process I am doing, they tell me that I have it that ACE using an option that does not exist in my virtual office ""Compensation or Return Tax Automotive 2021"""
513,deberian unificar el tramite de sellado o eliminar el aplicativo sellos web que no tiene utilidad adicional alguna si se puede iniciar un expediente para solicitar un sellado,You should unify the sealing or delete the applicant Web seals that does not have any additional utility if a file can be started to request a seal
514,mi sugerencia es que todos los tramites deberian ser de mas faciles de realizar y de forma mas intuitiva para aquellos que somos nuevos en ciertos temas es increiblemente dificil ubicarse en cuanto a requisitos a presentar considero que deberia existir un numero unico como un codigo de barras o qr para guardar toda la informacion con clave y dni como un banco sin necesidad de enviar fotos o archivos adjuntos esperando,My suggestion is that all the procedures should be easier to perform and more intuitively for those who are new in certain topics It is incredibly difficult to place themselves in terms of requirements to be considered as a unique number as a bar code or QR to save all the information with key and DNI as a bank without the need to send photos or attachments waiting
515,mayor detalle en los manuales sumado a un servicio de whatsapp de consulta rapida,Greater detail in the manuals added to a fast query whatsapp service
516,se demoran mucho en respodner los tramites online y no son efectivos,they take long in repurgating the online procedures and are not effective
517,las presentaciones digitales no estan muy claras y observacion tendriamos que exponer todo el problema ,Digital presentations are not very clear and observed we would have to expose the whole problem
518,cambiennnn mi correo por favorya lo informe  en tiempo y forma inicie expte,change my email please inform it in time and form starts expte
519,"hace mas de dos meses que la aplicacion no funciona para realizar pago o realizar consulta alguna me he atrasado en el pago de las cuotas del plan a causa de este inconveniente
solucion urgente me genera intereses el pago fuera de termino y no es un problema del usuario

saludos oscar","More than two months ago that the application does not work to make payment or query some I have behind the payment of the plan's quotas because of this inconvenience
Urgent solution generates interest on the payment out of term and it is not a user problem

Greetings Oscar."
520,seria muy bueno poder descargar boleto de deuda de periodos anteriores al vigente,It would be very good to be able to download debt ticket of previous periods to the current
521,el aplicativo tajus posee algunas incongruencias que seria necesario eliminar a fin de agilizar su funcionamiento  y el aplicativo beneficio de litigar sin gastos al dia de hoy no funciona,The Tajus application has some inconsistencies that would be necessary to eliminate in order to streamline its operation and the application benefit of litigar without expenses today does not work
522,mejorar los tiempos de resolucion y hacer mas practica la comunicacion con el gestor de soluciones,Improve resolution times and do more practice communication with the Solutions Manager
523,a los que estamos fuera de la provincia el 0800 tardaron 4 dias en atenderme mejorar eso,to which we are out of the province 0800 took 4 days to take care of me
524,me parece que la solicitud de sellado web  no esta muy clara es un poco ambigua falta mas informacion para que sea mas facil para entender y hacer la gestion sin tantas dudas de todos modos los tutoriales descarga de boletos y demas los veo muy bien bastante facil y accesible,It seems to me that the web sealing request is not very clear is a bit ambiguous lack more information so that it is easier to understand and make the manage without so many doubts the tutorials download of tickets and others I see them very well quite easy and accessible
525,a mi me observan el tramite de sellado pero nose el motivo,I get the sealing process but I do not have the reason
526,no soy muy preparada para esto pero estoy ayudando a personas mayores que se le hace imposible ojala haya hecho lo correcto ,I'm not very prepared for this but I'm helping elderly people who make it impossible hopefully I've done the right thing
527,tasa de justicia el tramite eterno,Justice Rate The Eternal Tramit
528,no me quedo claro como van a responder mi reclamo  ni en que plazo,I'm not sure how my claim will answer or in what term
529,la atencion en el 148 muy buenapero la pagina muy complicada,the attention in the 148 very good thing the page very complicated
530,no logran resolver el inconveniente que tiene en el sistema,fail to solve the inconvenience that has in the system
531,no me dan la solucion a mi problema me dicen que corresponde a otra àrea perso el sistema no m e permite gestionarlo telefonicamente te dejan horas y no te atienden a cabo de iniciar otro expediente para ver si me lo deriban al àrea correspondiente o me lo soluciones desde allì espero tener suerte gracias-,"Do not give me the solution to my problem, they tell me that it is up to another Persian area, the system does not allow me to manage it Telefly, they will leave you hours and do not attend you out of starting another file to see if they are silent to the corresponding area or you solve it from There I hope to be lucky thanks-"
532,mande varios expedientes por devolucion de pago anual de vehiculo y cambio de domicilio pasan los meses y no hay repuesta solo proceso,Send several records for annual vehicle payment and change of domicile spend the months and there is no replacement
533,mande varios expedientes por devolucion de pago anual de vehiculo y cambio de domicilio pasan los meses y no hay repuesta solo proceso,Send several records for annual vehicle payment and change of domicile spend the months and there is no replacement
534,la atencion de atm es pauperrima por ser educado uso esa palabra pero deberia ser tal cual son los que en teoria deberian atender por telefono y te denigran al igual los que no te contestan los mails dado que el  sistema  de atm no funciona bien,ATM's attention is pauperrima for being educated use that word but should be as such that they should attend by phone and denigrate you just who do not answer the mails since the ATM system does not work well
535,algunos tramites han finalizado satisfactoriamente pero actualmente presente un caso el 18/03/2021 cuit 20221856903 y no he recibido respuesta alguna gracias,Some procedures have finished satisfactorily but currently present a case on 03/18/2021 Cuit 20221856903 and I have not received any response thanks
536,un expte que inicie fue resuelto en tiempo y forma pero otro expte lo inicie en octubre del año pasado me pedia adjuntar documentacion y no se podia lo que tuve que iniciar otro expte y acumularlo al anterior pero hasta el momento no he tenido ninguna respuesta,an expte that starts was resolved in time and form but another expte it in October of last year I asked to attach documentation and could not what I had to start another expte and accumulate it to the previous one but until now I have not had any answer
537,atencion mala,ATTENTION MALE.
538,la pagina es muy engorrosa los invito a visitar la pagina de la provincia de cordoba tiene que ser una pagina intuitiva practica con diferentes medios de pago por ejemplo necesito sacar las boletas adeudadas y no lo puedo hacer la otra semana pague de manera electronica el impuesto 2021 y todavia me cobra interes son cosas inexplicables los datos de contactos indican que se puede llamar de l a v hasta las 19 hs y cuando llamo me dice que trabajan hasta las 14 hs ?? la pagina esta desactualizada es una verguenza hace ya un año de pandemia donde los medios digitales nos han facilitado los tramites y resulta que pagarle a la provincia es tan dificil y solo nos exponen a realizar tramites en las oficinas presenciales ?? naaa ponganse las pilas y mejoren la pagina,The page is very cumbersome I invite you to visit the page of the province of Cordoba has to be an intuitive page Practice with different means of payment for example I need to take out the offlets owed and I can not do it the other week to pay Electronica the tax 2021 and I still charge me interest are inexplicable things the contact data indicate that you can call from Lav until 19 hours and when I call it tells me that they work until 2:00 p.m. The page is outdated is a embarrassment a year ago of pandemic where digital media has facilitated the procedures and it turns out that paying the province is so difficult and only expose us to perform procedures in the face-to-face offices?? naaa put the batteries and improve the page
539,el tramite de sellado debe ser mas sencillo,The sealing process must be simpler
540,sin sugerencias,No suggestions
541,no se entiende bien por que otra persona puede generar planes de pago a mi nombre de propiedades mias pero que debe pagar el,It is not well understood because another person can generate payment plans to my name of MIAS properties but that must pay the
542,todo ok,All OK.
543,actualizar la informacion sobre todo en tasa de justicia,Update the information especially in justice rate
544,sigan asi,keep in that way
545,soporte para celulares mejorar esodesde una pc es dificil,support for cell phones Improve ESDESDE A PC is difficult
546,mejorar los tiempos de respuesta,improve the response times
547,la respuesta a los tramites electronicos deberia ser mas agil ,The response to electronic procedures should be more agile
548,el punto 4 coloque no estar satisfecha porque recien inicio el tramite y no se cuando se resolvera,Point 4 Place Not being satisfied because the process is now started and I do not know when it is resolved
549,solicito poder anular plan de pago mal generado de manera virtual,I request Current Payment Payment Mally generated virtually
550,seria bueno que contestaran el estado de los tramites  hece 4 meses solicite el alta de mi vehìculo y no me lo resuelven y me va generando intereses todos los meses,It would be good that they answered the status of the TA - TEE 4 months request the discharge of my vehicle and do not solve it and it is generating interest every month
551,muy rebuscada la pagina no deja imprimir boletos anteriores un desastre,very limping the page does not let print prior tickets a disaster
552,quiero pagar una multa de y no hay forma nunca habia visto una sitio tan confuso y poco amigable ,I want to pay a fine of and there's no way I had never seen such a confusing and unfriendly place
553,se tilda la pagina al seleccionar el pago con tarjeta de credito d e la tasa de justicia ,The page is tiled when selecting the payment with Credit card of the Rate of Justice
554,mejorar atenciòn y resoluciòn de expedientes ya que los datos registrados en mi sistema no coinciden con los de atm e implica realizar nuevamente el tramite,Improve attention and resolution of records since the data recorded in my system do not coincide with those of ATM and involves carrying out the procedure again
555,quiero pagar sellado de mi contrato de locacion imposible por que no esta vinculado el padron a mi cuit use otro atajo espero que no sea imposible por este medio,I want to pay sealing of my impossible location contract because the padron is not linked to my cuit use another shortcut I hope it is not impossible by this means
556,excelente,Excellent
557,deberia haber una opcion para el cambio de actividad si es sencillo mejor,There should be an option for the change of activity if it is simple better
558,si bien al ya haber realizado pedidos de sellados por ahi llegar a tramites remotos no es tan facil de darse cuenta para alguien que ingresa por primera vez,While having done places of sealed out there reaching remote processing is not that easy to realize for someone who enters for the first time
559,mejorar la logica en la navegacion de la plataforma ya que en tiempos de pandemia muchos de los tramites los realizan los usuarios y no poseen la cotidianidad de la navegacion en la pagina o los conocimientos basicos para realizar dichos tramites,Improve logic in the navigation of the platform since in times of pandemic many of the procedures are carried out by users and do not possess the daily life of navigation on the page or basic knowledge to perform these procedures
560,ultimamente no puedo cargar las ordes de compra para recibir o emitir el boleto lo tenemos que realizar por mis tramites  se cuelga la pagina,Lately I can not load the purchase orders to receive or issue the ticket we have to perform for my procedures hanging the page
561,"que al momento de responder sean mas explicitos
","that at the time of responding they are more explicit
"
562,que los expedientes iniciados en mis tramites se resuelvan mas rapido,that the files initiated in my procedures are resolved faster
563,tutoriales explicativos,Explanatory tutorials
564,tendria que ser mas detallada a la hora de hacer tramites online no estan todos los tramites para hacerlo por ejemplo para hacer el tramite de cambio de domicilio de un vehiculo no esta yo compre un vehiculo en otra provincia y nose como hacerlo desde la pc sin tener que ir a atm ,"I would have to be more detailed when it comes to making online tramites are not all the procedures to do it for example to make the change of change of address of a vehicle, I do not buy a vehicle in another province and do not know how to do it from the PC without having to go to atm"
565,se sugiere que exista comunicacion directa con el servicio tecnico para solucionare errores gracias,It is suggested that there is direct communication with the technical service for solving errors thanks
566,seria necesario mas claridad para acceder me costo mucho poder hacer el expediente digital es poco clara la informacion ademas de que hay que saber de computacion para agregar los que solicitan en pdf,It would be necessary more clarity to access cost me a lot of being able to make the digital file is unclear the information besides that you have to know about computation to add those who request in pdf
567,siendo profesional me cuesta un monton iniciar un tramite aveces hay demasiado posibilidades y siempre falla la que necesito acabo de terminar de ingresar una exencion por locacion y lo hice por syges mis tramites y no tengo seguridad si lo hice bien comence por sellos para pagar y no pude terminarlo porque no podian calcular el monto del tributo luego por mis tramites y tenes opciones ambiguas solicitud de sellos y otra similar que dice vinculado a sellos luego en ningun lado esta la opcion de excencion por locacion comercial y supongo debe haber un monton ,Being a professional costs me a lot on starting a triber sometimes there is too much possibilities and always fails the one I needed I just finished entering an exemption for location and I did it by Syges my process and I have no security if I did it well start by seals to pay and not I was able to finish it because they could not calculate the amount of the tribute later by my procedures and you have ambiguous options request of stamps and a similar one that says linked to stamps then on anywhere is the execution option for commercial location and I suppose there must be a lot
568,me parece pesimo el sistema  hay que iniciar el tramite via web  pero terminarlo personalmente ridiculo doble trabajo encima no se pueden conseguir turnos a la brevedad  ya que al intentar pedirlos  dice que no hay disponibles pero si uno va a la ofivina en san martin  encuentra los turneros que por $50 venden los turnos es un sistema mas burocratico y corrupto,I think I feel the system you have to start the process via web but finally finish it ridiculous double work on you can not get turns as soon as you try to ask them say that there are no available but if one goes to the offer in san martin find the turners that for $ 50 sell the turns is a more bureaucratic and corrupt system
569,deberia haber mas rapidez en las respuestas,There should be more quickly in the answers
570,poder liquidar intereses resarcitorios de los boletos de automotor e inmobiliario por pagos fuera de termino desde la web o mis tramites,To be able to liquidate the restraining interests of the automotive and real estate tickets for payments out of term from the web or my procedures
571,por favor que alguien atienda el telefono por favor que alguien haga algo para que esto medianamente funcione,please someone answer the phone please have someone do something for this moderately work
572,me gustaria que los tramites realizados via online sean resueltos de manera inmediata seria de gran ayuda en mi caso utilizo mucho atm,I would like that the goals made via online be resolved immediately would be a great help in my case I use a lot atm
573,son unos ladrones es increible lo que han aumentado los impuestos solo para mantener ñoquis que ni te contestan cuando necesitas algo,are thieves is incredible what have increased taxes only to keep gnocchi that they do not answer when you need something
574,mi sugerencia personalmente es que deberian aparecer todos los inmuebles para generar planes de pago en la seccion mis tramites no pude realizar sola el tramite que queria hacer me quise contactar por mail no se que problema hay con el mail llame por telefono no contestan obviamente,My suggestion personally is that all the properties should appear to generate payment plans in the My Tramites SECTION I could not perform the process that I wanted to do I wanted to contact me by mail I do not know what problem there is with the mail call on the phone.
575,desde ayer que no se puede realizar la formulacion de sellados por la pagina,since yesterday that you can not perform the formulation of sealed by the page
576,una posible mejora seria cuando la pagina esta en modo mantenimiento tratar de realizarlo fuera del horario de mañana a lo mejor realizarlo en la noche gracias,a possible serious improvement when the page is in maintenance mode try to do it outside the day of tomorrow maybe do it at night thanks
577,muy dificil hacer sellar contratos de alquiler,Very difficult to make seal rental contracts
578,optimicen el desgraciado sistema que han implementado  es frustrante para un ciudadano que no sea ingeniero en sistema pretende cumplir sus obligaciones fiscales o interactuar con las reparticiones de la administracion para la cual han creado este sistema por intermedio del mismo  simplemente desastrozo ,optimize the unfortunate system that has implemented is frustrating for a citizen who is not a system engineer aims to fulfill its tax obligations or interact with the distributions of the administration for which they have created this system through it simply disastrous
579,"para el supuesto de los sellados web la informacion brindada es poco clara la aplicacion sellos web no funciona estuve tres dias seguidos tratando de utilizarla como conclusion solicite el sellado de contrato de locacion de inmueble en representacion del locador a traves de la aplicacion mis tramites la cual funciona correctamente
salvo lo anteriormente informado  no he tenido inconveniente en otras aplicaciones que he tenido que utilizar por ejemplo tasa de justicia y certificado catastral ","For the assumption of web sealants, the information provided is unclear, the web stamp application was not working three days, trying to use it as a conclusion, request the stamping of the real estate Location contract in the Rendering of the Locator through the application my processing which works correctly
Except as previously informed I have not had any inconvenience in other applications that I have had to use for example, Rate of Justice and Cadastral Certificate"
580,tendria que ser mas rapida la respuesta,I would have to be faster the answer
581,no pueden demorar tanto en la respuesta a cada requerimiento-,They can not delay both the response to each requirement-
582,todo deberia ser mas intuitivo  para la gente que no esta familiarizada con el uso de recursos informaticos ,Everything should be more intuitive for people who are not familiar with the use of computer resources
583,la plataforma de atm es pesima no solo esteticamente que es lo de menos funciona muy lento tarda en actualizar y la plataforma que han habilitado de tramites es confusa con poca informacion y la demora es imposible de tolerar tienen decenas de empleados al y tardan semanas en resolver los tramites la administracion suarez en materia de impuestos deja mucho que desear de las peores que vi incluso peores que las del peronismo,The ATM platform is pesima not only aesthetically that it is very slow it takes it to update and the platform that have enabled tramites is confusing with little information and the delay is impossible to tolerate dozens of employees at and take weeks to solve The Procedures The SuAREZ administration in terms of taxes leaves a lot to be desired from the worst I saw even worse than those of Peronism
584,por favor actualizar el pedido de codigos ya que piden el 551 y no existe tuve que ir dos veces a comprar a la bolsa de comercio cuando averigue cual era el correcto tambien esto podria evitarse ya que si o si tenemos que ir a comprar los codigos al centro ¿no pueden dar la opcion de generar un vep? estamos en epoca de pandemia tenemos que evitar salir de casa,"please update the code order because they ask for 551 and do not exist that I had to go twice to buy the stock exchange when it finds what it was the right one too, it could be avoided because if or if we have to go buy the codes Center Can not give the option to generate a VEP? We are in time of pandemic we have to avoid leaving home"
585,es mejor todo automatizado pero no dejar de poder solucionar las cosas en forma personal,everything is better automated but not stopping being able to solve things personally
586,desde ya como siempre muchas gracias porque es dificil lo que estamos viviendo gracias por su gestion,"from now as always, thank you very much because it is difficult what we are living thanks for your management"
587,malisima la atencion hace mas de un mes que intento hacer un reclamo por todos los canales virtuales ya que no puedo acercarme a las oficinas la atencion telefonica pęsima,"Missing the attention more than a month ago I try to make a claim for all the virtual channels since I can not approach the offices, the telephone service Pęsima"
588,que sea mas facil el realizar tramites dentro de mis tramites ,that is easier to carry out processing within my procedures
589,no cargar al querer ver el detalle del rodado o inmueble sale error al querer ver ,do not charge when wanting to see the detail of the rolled or property leaves error when wanting to see
590,soy monotributista social deseo saber si tengo que inscribirme en ingresos brutos y como ,I am a social monotributist I want to know if I have to enroll in gross income and how
591,es muy complicado saber como se puede sellar un pagare ,It is very complicated to know how you can seal a promote
592,compre una moto nunca me llego la patente anual  no figuro en atm realice el reclamo 2 veces pero no recibo respuesta no voy a pagar con intereses por que el error es de atm-  la moto se patento tengo el titulo y tarjeta verde,Buy a motorcycle I never got the annual patent not Figuro in ATM make the claim 2 times but I do not receive a response I will not pay with interest because the error is from ATM- the motorcycle PAULET I have the title and green card
593,edemsa ya hace lo mismo que esta pagina solo con un numero de whatsapp deberia simplificar los tramites de esa manera  los adultos mayores estan totalmente fuera de comprender este menu en su gran mayoria ,edemsa is already doing the same as this page only with a number of whatsapp should simplify the processing that way older adults are totally out of understanding this menu in its great majority
594,las inspecciones de fiscalizacexterna deberian tener un expte elect de forma q se pueda ir chequeando el avance de la inspeccion y ver a tiempo si se emite una resolucion y estar a tiempo para presentar el recurso aclaratorio ,Prosecutor's inspections should have an ELECT ELECT in a way that can be checked by the progress of the inspection and see on time if a resolution is issued and on time to present the clarification resource
595,no se puede cargar todos los pedidos de pago de sellados algunos no se procesan y luego tenemos muchas demoras,You can not upload all post-sealed pay orders some are not processed and then we have many delays
596,bajar costos,Lower costs
597,agilizar las respuestas a solicitudes a traves del contacto por correo electronico,Examine responses to requests through contact by email
598,en sellos seria importante que cuando hay algun error lo indiquen con claridad ayudandonos con los pasos a seguir para solucionarlo a la brevedad,"In seals it would be important that when there is any error, they indicate it clearly by helping us with the steps to follow to solve it as soon as possible"
599,mejorar el sistema tajus para la correcta y efectiva liquidacion de tasa de justicia,Improve the Tajus system for the correct and effective Liquidation of Rate of Justice
600,que se den respuestas en plazos relativamente razonables ya que en ee 22440-2021 no la he tenido despues de 20 dìas,that are given answers in relatively reasonable terms since in EE 22440-2021 I have not had it after 20 days
601,es muy buena la pagina,the page is very good
602,pago en cuotas sin interes con tarjetas de banco nacion empleados publicos,Payment in installments without interest with Bank cards Nation Public employees
